date,close,company,price_change,volume_change,high_low_ratio,target,headline,news_count_log,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded
2023-07-27,190.55,Apple,-0.0066,0.017816203418992024,0.0,1,Apple market update,0.6931471805599453,17.67540204410831,3,7,3,0,0,0
2023-07-28,193.12,Apple,0.0135,0.06370978836368105,0.0,1,Apple market update,0.6931471805599453,17.692764069646728,4,7,3,0,1,0
2023-07-31,193.73,Apple,0.0032,-0.5621631149792087,-3.469446951953614e-18,0,Apple market update,0.6931471805599453,17.474551771547425,0,7,3,1,0,0
2023-08-01,192.91,Apple,-0.0043,-0.2432943905131308,-3.469446951953614e-18,0,Apple market update,0.6931471805599453,17.375849032318104,1,8,3,0,0,0
2023-08-02,189.92,Apple,-0.0155,0.9119741227581409,0.0,0,Apple market update,0.6931471805599453,17.735289428760606,2,8,3,0,0,0
2023-08-03,188.53,Apple,-0.0073,0.5148085957349819,0.0,0,Apple market update,0.6931471805599453,17.930232761868652,3,8,3,0,0,0
2023-08-04,179.47,Apple,-0.048,1.542687294338488,0.0,0,Apple market update,0.6931471805599453,18.5687282745382,4,8,3,0,1,0
2023-08-07,176.38,Apple,-0.0173,-0.4406412557704361,0.0,1,Apple market update,0.6931471805599453,18.396143154595272,0,8,3,1,0,0
2023-08-08,177.31,Apple,0.0053,-0.9438484681462115,0.0,0,Apple market update,0.6931471805599453,18.032411943166714,1,8,3,0,0,0
2023-08-09,175.73,Apple,-0.009,-0.29028198640524,0.0,0,Apple market update,0.6931471805599453,17.916143655833437,2,8,3,0,0,0
2023-08-10,175.51,Apple,-0.0012,-0.2441784199153934,0.0,1,Apple market update,0.6931471805599453,17.817134768879264,3,8,3,0,0,0
2023-08-11,175.57,Apple,0.0003,-0.11284422343950747,0.0,1,Apple market update,0.6931471805599453,17.767459816055695,4,8,3,0,1,0
2023-08-14,177.22,Apple,0.0094,-0.44763198099806806,0.0,0,Apple market update,0.6931471805599453,17.5923001746224,0,8,3,1,0,0
2023-08-15,175.23,Apple,-0.0112,0.01519191037865821,0.0,0,Apple market update,0.6931471805599453,17.59108594557077,1,8,3,0,0,0
2023-08-16,174.36,Apple,-0.005,0.209744682897674,0.0,0,Apple market update,0.6931471805599453,17.6649110934558,2,8,3,0,0,0
2023-08-17,171.83,Apple,-0.0146,0.8688796974001811,0.0,1,Apple market update,0.6931471805599453,18.00611789158577,3,8,3,0,0,0
2023-08-18,172.31,Apple,0.0028,-0.18506751796650697,0.0,1,Apple market update,0.6931471805599453,17.929203412261792,4,8,3,0,1,0
2023-08-21,173.64,Apple,0.0077,-0.7212574915725177,0.0,1,Apple market update,0.6931471805599453,17.650909527063792,0,8,3,1,0,0
2023-08-22,175.02,Apple,0.0079,-0.2382908330705837,0.0,1,Apple market update,0.6931471805599453,17.55410596186158,1,8,3,0,0,0
2023-08-23,178.86,Apple,0.0219,0.5923945899450231,0.0,0,Apple market update,0.6931471805599453,17.780558576489224,2,8,3,0,0,0
2023-08-24,174.18,Apple,-0.0262,0.1260492844758621,0.0,1,Apple market update,0.6931471805599453,17.821857820971477,3,8,3,0,0,0
2023-08-25,176.38,Apple,0.0126,-0.15533965140029923,0.0,1,Apple market update,0.6931471805599453,17.75611326511222,4,8,3,0,1,0
2023-08-28,177.94,Apple,0.0088,-0.4084544547527973,0.0,1,Apple market update,0.6931471805599453,17.595616889265163,0,8,3,1,0,0
2023-08-29,181.82,Apple,0.0218,0.5033739684303682,0.0,1,Apple market update,0.6931471805599453,17.785876072581356,1,8,3,0,0,0
